page_id,page_type,entropy,zero_ratio,run_length_score,file_path
0,zero,0.0,1.0,4096.0,pages/zero_0.bin
1,zero,0.0,1.0,4096.0,pages/zero_1.bin
2,zero,0.0,1.0,4096.0,pages/zero_2.bin
3,zero,0.0,1.0,4096.0,pages/zero_3.bin
4,zero,0.0033,0.9998,1365.3333,pages/zero_4.bin
5,zero,0.0033,0.9998,1365.3333,pages/zero_5.bin
6,zero,0.0033,0.9998,1365.3333,pages/zero_6.bin
7,zero,0.0,1.0,4096.0,pages/zero_7.bin
8,zero,0.0033,0.9998,1365.3333,pages/zero_8.bin
9,zero,0.0033,0.9998,1365.3333,pages/zero_9.bin
10,zero,0.0,1.0,4096.0,pages/zero_10.bin
11,zero,0.0033,0.9998,1365.3333,pages/zero_11.bin
12,zero,0.0033,0.9998,1365.3333,pages/zero_12.bin
13,zero,0.0,1.0,4096.0,pages/zero_13.bin
14,zero,0.0,1.0,4096.0,pages/zero_14.bin
15,zero,0.0,1.0,4096.0,pages/zero_15.bin
16,zero,0.0,1.0,4096.0,pages/zero_16.bin
17,zero,0.0,1.0,4096.0,pages/zero_17.bin
18,zero,0.0,1.0,4096.0,pages/zero_18.bin
19,zero,0.0,1.0,4096.0,pages/zero_19.bin
20,zero,0.0,1.0,4096.0,pages/zero_20.bin
21,zero,0.0,1.0,4096.0,pages/zero_21.bin
22,zero,0.0,1.0,4096.0,pages/zero_22.bin
23,zero,0.0033,0.9998,1365.3333,pages/zero_23.bin
24,zero,0.0033,0.9998,1365.3333,pages/zero_24.bin
25,zero,0.0033,0.9998,1365.3333,pages/zero_25.bin
26,zero,0.0033,0.9998,1365.3333,pages/zero_26.bin
27,zero,0.0,1.0,4096.0,pages/zero_27.bin
28,zero,0.0033,0.9998,1365.3333,pages/zero_28.bin
29,zero,0.0,1.0,4096.0,pages/zero_29.bin
30,zero,0.0,1.0,4096.0,pages/zero_30.bin
31,zero,0.0,1.0,4096.0,pages/zero_31.bin
32,zero,0.0033,0.9998,1365.3333,pages/zero_32.bin
33,zero,0.0033,0.9998,1365.3333,pages/zero_33.bin
34,zero,0.0033,0.9998,1365.3333,pages/zero_34.bin
35,zero,0.0,1.0,4096.0,pages/zero_35.bin
36,zero,0.0,1.0,4096.0,pages/zero_36.bin
37,zero,0.0033,0.9998,1365.3333,pages/zero_37.bin
38,zero,0.0,1.0,4096.0,pages/zero_38.bin
39,zero,0.0,1.0,4096.0,pages/zero_39.bin
40,zero,0.0,1.0,4096.0,pages/zero_40.bin
41,zero,0.0,1.0,4096.0,pages/zero_41.bin
42,zero,0.0033,0.9998,1365.3333,pages/zero_42.bin
43,zero,0.0,1.0,4096.0,pages/zero_43.bin
44,zero,0.0,1.0,4096.0,pages/zero_44.bin
45,zero,0.0,1.0,4096.0,pages/zero_45.bin
46,zero,0.0,1.0,4096.0,pages/zero_46.bin
47,zero,0.0,1.0,4096.0,pages/zero_47.bin
48,zero,0.0,1.0,4096.0,pages/zero_48.bin
49,zero,0.0,1.0,4096.0,pages/zero_49.bin
50,zero,0.0,1.0,4096.0,pages/zero_50.bin
51,zero,0.0033,0.9998,1365.3333,pages/zero_51.bin
52,zero,0.0,1.0,4096.0,pages/zero_52.bin
53,zero,0.0,1.0,4096.0,pages/zero_53.bin
54,zero,0.0,1.0,4096.0,pages/zero_54.bin
55,zero,0.0,1.0,4096.0,pages/zero_55.bin
56,zero,0.0,1.0,4096.0,pages/zero_56.bin
57,zero,0.0033,0.9998,1365.3333,pages/zero_57.bin
58,zero,0.0,1.0,4096.0,pages/zero_58.bin
59,zero,0.0,1.0,4096.0,pages/zero_59.bin
60,zero,0.0033,0.9998,1365.3333,pages/zero_60.bin
61,zero,0.0,1.0,4096.0,pages/zero_61.bin
62,zero,0.0033,0.9998,1365.3333,pages/zero_62.bin
63,zero,0.0,1.0,4096.0,pages/zero_63.bin
64,zero,0.0,1.0,4096.0,pages/zero_64.bin
65,zero,0.0,1.0,4096.0,pages/zero_65.bin
66,zero,0.0,1.0,4096.0,pages/zero_66.bin
67,zero,0.0033,0.9998,1365.3333,pages/zero_67.bin
68,zero,0.0,1.0,4096.0,pages/zero_68.bin
69,zero,0.0,1.0,4096.0,pages/zero_69.bin
70,zero,0.0033,0.9998,1365.3333,pages/zero_70.bin
71,zero,0.0033,0.9998,1365.3333,pages/zero_71.bin
72,zero,0.0,1.0,4096.0,pages/zero_72.bin
73,zero,0.0,1.0,4096.0,pages/zero_73.bin
74,zero,0.0033,0.9998,1365.3333,pages/zero_74.bin
75,zero,0.0,1.0,4096.0,pages/zero_75.bin
76,zero,0.0,1.0,4096.0,pages/zero_76.bin
77,zero,0.0,1.0,4096.0,pages/zero_77.bin
78,zero,0.0033,0.9998,1365.3333,pages/zero_78.bin
79,zero,0.0033,0.9998,1365.3333,pages/zero_79.bin
80,zero,0.0,1.0,4096.0,pages/zero_80.bin
81,zero,0.0033,0.9998,1365.3333,pages/zero_81.bin
82,zero,0.0033,0.9998,1365.3333,pages/zero_82.bin
83,zero,0.0,1.0,4096.0,pages/zero_83.bin
