page_id,page_type,chosen_method,adaptive_ratio,adaptive_time,lz4_ratio,lz4_time,zstd_ratio,zstd_time
0,zero,lz4,83.5918,1.3e-05,83.5918,2e-06,215.5789,4.2e-05
1,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,3e-06
2,zero,lz4,83.5918,2e-06,83.5918,1e-06,215.5789,2e-06
3,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
4,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,2e-06
5,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
6,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
7,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
8,zero,lz4,70.6207,1e-06,70.6207,1e-06,170.6667,1e-06
9,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
10,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
11,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
12,zero,lz4,77.283,1e-06,77.283,1e-06,170.6667,1e-06
13,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
14,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
15,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
16,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
17,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
18,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
19,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
20,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
21,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
22,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
23,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
24,zero,lz4,73.1429,1e-06,73.1429,1e-06,170.6667,1e-06
25,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
26,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
27,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
28,zero,lz4,70.6207,1e-06,70.6207,1e-06,170.6667,1e-06
29,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
30,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
31,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
32,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
33,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
34,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
35,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
36,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
37,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
38,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
39,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
40,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
41,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
42,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
43,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
44,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
45,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
46,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
47,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
48,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
49,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
50,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
51,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
52,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
53,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
54,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
55,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
56,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
57,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
58,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
59,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
60,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
61,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
62,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
63,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
64,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
65,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
66,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
67,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
68,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,2e-06
69,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
70,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,2e-06
71,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
72,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
73,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
74,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
75,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
76,zero,lz4,83.5918,2e-06,83.5918,1e-06,215.5789,2e-06
77,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,2e-06
78,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,2e-06
79,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,2e-06
80,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
81,zero,lz4,73.1429,1e-06,73.1429,1e-06,178.087,1e-06
82,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
83,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
84,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
85,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
86,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
87,zero,lz4,77.283,1e-06,77.283,1e-06,170.6667,1e-06
88,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
89,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
90,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
91,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
92,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
93,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
94,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
95,zero,lz4,71.8596,1e-06,71.8596,1e-06,170.6667,1e-06
96,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
97,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
98,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
99,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
100,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
101,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
102,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
103,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
104,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
105,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
106,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
107,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
108,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
109,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
110,zero,lz4,75.8519,1e-06,75.8519,1e-06,170.6667,1e-06
111,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
112,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
113,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
114,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
115,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
116,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
117,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
118,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
119,zero,lz4,77.283,1e-06,77.283,1e-06,170.6667,1e-06
120,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
121,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
122,zero,lz4,83.5918,1e-06,83.5918,1e-06,215.5789,1e-06
123,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
124,zero,lz4,83.5918,1e-06,83.5918,0.0,215.5789,1e-06
125,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,8e-06
126,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,4e-06
127,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
128,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
129,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
130,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
131,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
